placa,anio_pago,marca,modelo,anio_modelo,pais,ramv,canton,clase,servicio,cilindraje,fecha_caducidad,fecha_ultima,fecha_compra,fecha_matricula,total_pagar
PCO3504,2026,CHEVROLET,SAIL FULL AC 1.4 4P 4X2 TM,2015,ECUADOR,-,SHUSHUFINDI,AUTOMOVIL,PARTICULAR,1398,23-04-2028,25-04-2023,24-03-2015,30-05-2024,USD $19.29
PCL5559,2025,CHEVROLET,SAIL AC 1.4 4P 4X2 TM,2015,ECUADOR,B7640094477,QUITO,AUTOMOVIL,ALQUILER,1398,31-10-2030,21-08-2025,31-08-2014,21-08-2025,USD $93.09
PDC3227,2025,HYUNDAI,ACCENT 1.6 4P 4X2 TM,2018,COREA DEL SUR,T02193569,LOJA,AUTOMOVIL,PARTICULAR,1600,31-08-2030,21-05-2025,29-03-2018,21-05-2025,USD $72.74
PBH9162,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
JAA0273,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
TBA5861,2024,CHEVROLET,AVEO ACTIVO 1.6L 5P STD,2010,ECUADOR,-,PLAYAS,AUTOMOVIL,PARTICULAR,1600,11-08-2029,12-08-2024,23-12-2009,12-08-2024,USD $238.7
PWH422,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
PUG0312,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
PBQ8607,2024,FORD,FUSION HIBRIDO,2011,MEXICO,-,LATACUNGA,AUTOMOVIL,PARTICULAR,2500,27-01-2029,29-01-2024,25-11-2010,29-01-2024,USD $308.88
ADZ0356,2025,MITSUBISHI,L-200(4X4)DC/TM,2003,TAILANDIA,-,MEJIA,CAMIONETA,PARTICULAR,2400,23-04-2029,24-04-2024,11-02-2004,12-12-2025,USD $104.54
PBK9766,2025,HONDA,CIVIC FG118AJ-KK,2010,CANADA,-,PUERTO QUITO,AUTOMOVIL,PARTICULAR,1800,08-07-2029,09-07-2024,22-07-2010,09-07-2024,USD $86.28
PAA8787,2025,VOLKSWAGEN,CRAFTER 30 2ED0F5 AC 2.0 5P 4X2 TM DIESEL,2015,ALEMANIA,-,RUMIÑAHUI,OMNIBUS,ALQUILER,1968,27-08-2030,28-08-2025,12-06-2015,28-08-2025,USD $385.74
PPV872,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
PTK998,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
PDB4767,2024,MAZDA,MAZDA3 SPORT 2.0 AT FL,2008,COLOMBIA,T00517532,TOSAGUA,AUTOMOVIL,PARTICULAR,2000,27-03-2029,28-03-2024,28-09-2007,28-03-2024,USD $274.64
PWK511,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
PHN230,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
PJQ0569,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
PCO1025,2025,MAZDA,BT-50 STD CRD FL 2.5 CD 4X2 TM DIESEL,2015,ECUADOR,M-137506,RUMIÑAHUI,CAMIONETA,ALQUILER,2500,30-06-2026,22-07-2021,26-01-2015,17-07-2025,USD $133.14
PJE0813,2025,CHEVROLET,ASKA,1988,ECUADOR,-,SAN VICENTE,AUTOMOVIL,PARTICULAR,1800,03-09-2028,05-09-2023,01-01-1988,05-09-2023,USD $75.78
PCI6195,2025,MAZDA,BT-50 STD FL 2.2 CD 4X2 TM,2014,ECUADOR,-,SALCEDO,CAMIONETA,ALQUILER,2200,30-06-2030,25-09-2025,13-11-2013,28-08-2025,USD $112.48
PNB0647,2025,VOLKSWAGEN,GOL 1.8 4P COMFORT,2005,BRASIL,-,LATACUNGA,AUTOMOVIL,PARTICULAR,1800,09-07-2028,11-07-2023,28-03-2005,23-06-2025,USD $76.33
IBR884,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
PBW5605,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
PBA2850,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
PBC1915,2025,VOLKSWAGEN,PARATI CROSSOVER 1.8 4P 5V 5W5PF4,2008,BRASIL,-,QUITO,AUTOMOVIL,PARTICULAR,1800,03-07-2029,04-07-2024,26-10-2007,04-07-2024,USD $79.35
XBY0474,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
PBY9621,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
PSO226,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
TBA3952,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
HCT733,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE,NO EXISTE
